# strongs	hebrew	transliteration
1872	דְּרָע	d@ra`
1873	דָּרַע	Dara`
1874	דַּרְקוֹן	Darqown
1875	דּרשׁ	darash
1876	דָּשָׁא	dasha
1877	דֶּשֶׁא	deshe'
1878	דָּשַׁן	dashen
1879	דָּשֵׁן	dashen
1880	דֶּשֶׁן	deshen
1881	דָּת	dath
1882	דָּת	dath
1883	דֶּתֶא	dethe'
1884	דְּתָבַר	d@thabar
1885	דָּתָן	Dathan
1886	דֹּתָן	Dothan
1887	הֵא	he'
1888	הֵא	he'
1889	הֶאָח	heach
1890	הַבְהָב	habhab
1891	הָבַל	habal
1892	הֶבֶל	hebel
1893	הֶבֶל	Hebel
1894	הֹבְן	hoben
1895	הָבַר	habar
1896	הֵגֶא	Hege'
1897	הָגַה	hagah
1898	הָגַה	hagah
1899	הֶגֶה	hegeh
1900	הָגוּת	haguwth
1901	הָגִיג	hagiyg
1902	הִגָּיוֹן	higgayown
1903	הֲגִינָה	hagiyn
1904	הָגָר	Hagar
1905	הַגְרִי	Hagriy
1906	הֵד	hed
1907	הַדָּבְר	haddabar
1908	הֲדַד	Hadad
1909	הֲדַדְעֶזֶר	Hadad`ezer
1910	הֲדַדְ־רִמּוֹן	Hadadrimmown
1911	הָדַה	hadah
1912	הֹדּוּ	Hoduw
1913	הֲדוֹרָם	Hadowram
1914	הִדַּי	Hidday
1915	הָדַךְ	hadak
1916	הֲדֹם	hadom
1917	הַדָּם	haddam
1918	הֲדַס	hadac
1919	הֲדַסָּה	Hadaccah
1920	הָדַף	Hadaph
1921	הָדַר	hadar
1922	הַדַר	hadar
1923	הַדַר	hadar
1924	הֲדַר	Hadar
1925	הֶדֶר	heder
1926	הָדָר	hadar
1927	הֲדָרָה	hadarah
1928	הֲדַדְעֶזֶר	Hadar`ezer
1929	הָהּ	hahh
1930	הוֹ	how
1931	הוּא	huw'
1932	הוּא	huw
1933	הָוָא	hava'
1934	הַוָא	hava'
1935	הוֹד	howd
1936	הוֹד	Howd
1937	הוֹדַוְיָה	Howd@vah
1938	הוֹדַוְיָה	Howdavyah
1939	הֹדַיְוָהוּ	Howday@vahuw
1940	הוֹדִיָּה	Howdiyah
1941	הוֹדִיָּה	Howdiyah
1942	הַוָּה	havvah
1943	הוָֹה	hovah
1944	הוֹהָם	Howham
1945	הוֹי	howy
1946	הוּךְ	huwk
1947	הוֹלֵלָה	howlelah
1948	הוֹלֵלוּת	howleluwth
1949	הוּם	huwm
1950	הוֹמָם	Howmam
1951	הוּן	huwn
1952	הוֹן	hown
1953	הוֹשָׁמָע	Howshama`
1954	הוֹשֵׁעַ	Howshea`
1955	הוֹשַׁעְיָה	Howsha`yah
1956	הוֹתִיר	Howthiyr
1957	הָזָה	hazah
1958	הִי	hiy
1959	הֵידָד	heydad
1960	הֻיְּדָה	huy@dah
1961	הָיָה	hayah
1962	הַיָּה	hayah
1963	הֵיךְ	heyk
1964	הֵיכָל	heykal
1965	הֵיכַל	heykal
1966	הֵילֵל	heylel
1967	הֵימָם	Heymam
1968	הֵימָן	Heyman
1969	הִין	hiyn
1970	הָכַר	hakar
1971	הַכָּרָה	hakkarah
1972	הָלָא	hala'
1973	הָלְאָה	hal@ah
1974	הִלּוּל	hilluwl
1975	הַלָּז	hallaz
1976	הַלָּזֶה	hallazeh
1977	הַלֵּזוּ	hallezuw
1978	הָלִיךְ	haliyk
1979	הֲלִיכָה	haliykah
1980	הָלַךְ	halak
1981	הַלַךְ	halak
1982	הֵלֶךְ	helek
1983	הֲלָךְ	halak
1984	הָלַל	halal
1985	הִלֵּל	Hillel
1986	הָלַם	halam
1987	הֵלֶם	Helem
1988	הֲלֹם	halom
1989	הַלְמוּת	halmuwth
1990	הָם	Ham
1991	הָמֶה	hem
1992	הֵם	hem
1993	הָמָה	hamah
1994	הִמּוֹ	himmow
1995	הָמוֹן	hamown
1996	הֲמוֹן	<A CLASS="u">&#x05D2;&#x05BC;&#xFB4B;&#x05D2;</A> Hamown Gowg
1997	הֲמוֹנָה	Hamownah
1998	הֶמְיָה	hemyah
1999	הֲמֻלָּה	hamullah
2000	הָמַם	hamam
2001	הָמָן	Haman
2002	הַמְנִיךְ	hamniyk
2003	הָמָס	hamac
2004	הֵן	hen
2005	הֵן	hen
2006	הֵן	hen
2007	הֵנָּה	hennah
2008	הֵנָּה	hennah
2009	הִנֵּה	hinneh
2010	הֲנָחָה	hanachah
2011	הִנֹּם	Hinnom
2012	הֵנַע	Hena`
2013	הָסָה	hacah
2014	הֲפוּגָה	haphugah
2015	הָפַךְ	haphak
2016	הֶפֶךְ	hephek
2017	הֹפֶךְ	hophek
2018	הֲפֵכָה	haphekah
2019	הֲפַכְפַּךְ	haphakpak
2020	הַצָּלָה	hatstsalah
2021	הֹצֶן	hotsen
2022	הַר	har
2023	הֹר	Hor
2024	הָרָא	Hara'
2025	הַרְאֵל	har'el
2026	הָרַג	harag
2027	הֶרֶג	hereg
2028	הֲרֵגָה	haregah
2029	הָרָה	harah
2030	הָרֶה	hareh
2031	הַרְהֹר	harhor
2032	הֵרוֹן	herown
2033	הֲרוֹרִי	Harowriy
2034	הֲרִיסָה	hariycah
2035	הֲרִיסוּת	hariycuwth
2036	הֹרָם	Horam
2037	הָרוּם	Harum
2038	הַרְמוֹן	harmown
2039	הָרָן	Haran
2040	הָרַס	harac
2041	הֶרֶשׂ	herec
2042	הָרָר	harar
2043	הֲרָרִי	Harariy
2044	הָשֵׁם	Hashem
2045	הַשְׁמָעוּת	hashma`uwth
2046	הִתּוּךְ	hittuwk
2047	הֲתָךְ	Hathak
2048	הָתַל	hathal
2049	הָתוּל	hathol
2050	הָתַת	hathath'
2051	וְדָן	V@dan
2052	וָהֵב	Vaheb
2053	וָו	vav
2054	וָזָר	vazar
2055	וָיְזָתָא	Vay@zatha'
2056	וָלָד	valad
2057	וַנְיָה	Vanyah
2058	וָפְסִי	Vophciy
2059	וַשְׁנִי	Vashniy
2060	וַשְׁתִּי	Vashtiy
2061	זְאֵב	z@'eb
2062	זְאֵב	Z@'eb
2063	זֹאת	zo'th
2064	זָבַד	zabad
2065	זֵבֶד	zebed
2066	זָבָד	Zabad
2067	זַבְדִּי	Zabdiy
2068	זַבְדִּיאֵל	Zabdiy'el
2069	זְבַדְיָה	Z@badyah
2070	זְבוּב	z@buwb
2071	זָבוּד	Zabuwd
2072	זָבוּד	Zabbuwd
2073	זְבוּל	z@buwl
2074	זְבוּלוּן	Z@buwluwn
2075	זְבוּלֹנִי	Z@buwloniy
2076	זָבַח	zabach
2077	זֶבַח	zebach
2078	זֶבַח	Zebach
2079	זַבַּי	Zabbay
2080	זְבוּדָּה	Z@biydah
2081	זְבִינָא	Z@biyna'
2082	זָבַל	zabal
2083	זְבוּל	Z@bul
2084	זְּבַן	z@ban
2085	זָג	zag
2086	זֵד	zed
2087	זָדוֹן	zadown
2088	זֶה	zeh
2089	זֶה	zeh (1 Samuel 17:34)
2090	זֹה	zoh
2091	זָהָב	zahab
2092	זָהַם	zaham
2093	זָהַם	Zaham
2094	זהר	zahar
2095	זְהַר	z@har
2096	זֹהַר	zohar
2097	זוֹ	zow
2098	זוּ	zuw
2099	זִו	Ziv
2100	זוּב	zuwb
2101	זוֹב	zowb
2102	זוּד	zuwd
2103	זוּד	zuwd
2104	זוּזִים	Zuwziym
2105	זוֹחֵת	Zowcheth
2106	זָוִית	zaviyth
2107	זוּל	zuwl
2108	זוּלָה	zuwlah
2109	זוּן	zuwn
2110	זוּן	zuwn
2111	זוּעַ	zuwa`
2112	זוּעַ	zuwa`
2113	זְוָעָה	z@va`ah
2114	זוּר	zuwr
2115	זוּר	zuwr
2116	זּוּרֶה	zuwreh
2117	זָזָא	zaza'
2118	זָחַח	zachach
2119	זָחַל	zachal
2120	זֹּחֶלֶת	Zocheleth
2121	זֵדוֹן	zeydown
2122	זִיו	ziyv
2123	זִיז	ziyz
2124	זִיזָא	Ziyza'
2125	זִיזָה	Ziyzah
2126	זִינָא	Ziyna'
2127	זִיעַ	Ziya`
2128	זִיף	Ziyph
2129	זִיפָה	Ziyphah
2130	זִיפִי	Ziyphiy
2131	זִיקָה	ziyqah (Isa. 50:11)
2132	זַיִת	zayith
2133	זֵיתָן	Zeythan
2134	זַךְ	zak
2135	זָכַה	zakah
2136	זָכוּ	zakuw
2137	זְכוֹכִית	z@kuwkiyth
2138	זַכוּר	zakuwr
2139	זַכּוּר	Zakkuwr
2140	זַכַּי	Zakkay
2141	זָכַךְ	zakak
2142	זָכַר	zakar
2143	זֵכֶר	zeker
2144	זֶכֶר	Zeker
2145	זָכָר	zakar
2146	זִכָּרוֹן	zikrown
2147	זִכְרִי	Zikriy
2148	זְכַרְיָה	Z@karyah
2149	זֻלּוּת	zulluwth
2150	זַלְזַל	zalzal
2151	זָלַל	zalal
2152	זַלְעָפָה	zal`aphah
2153	זִלְפָּה	Zilpah
2154	זִמָּה	zimmah
2155	זִמָּה	Zimmah
2156	זְמוֹרָה	z@mowrah
2157	זַמְזֹם	Zamzom
2158	זָמִיר	zamiyr
2159	זָמִיר	zamiyr
2160	זְמִירָה	Z@miyrah
2161	זָמַם	zamam
2162	זְמָם	zamam
2163	זָמַן	zaman
2164	זְמַן	z@man
2165	זְמַן	z@man
2166	זְמַן	z@man
2167	זָמַר	zamar
2168	זָמַר	zamar
2169	זֶמֶר	zemer
2170	זְמָר	z@mar
2171	זַמָּר	zammar
2172	זִמְרָה	zimrah
2173	זִמְרָה	zimrah
2174	זִמְרִי	Zimriy
2175	זִמְרָן	Zimran
2176	זִמְרָת	zimrath
2177	זַן	zan
2178	זַן	zan
2179	זָנַב	zanab
2180	זָנָב	zanab
2181	זָנָה	zanah
2182	זָנוֹחַ	Zanowach
2183	זָנוּן	zanuwn
2184	זְנוּת	z@nuwth
2185	זֹּנוֹת	zonowth
2186	זָנַח	zanach
2187	זָנַק	zanaq
2188	זֵעָה	ze`ah
2189	זַעֲוָה	za`avah
2190	זַעֲוָן	Za`avan
2191	זְעֵיר	ze`eyr
2192	זְעֵיר	z@`eyr
2193	זָעַךְ	za`ak
2194	זָעַם	za`am
2195	זַעַם	za`am
2196	זָעַף	za`aph
2197	זַעַף	za`aph
2198	זָעֵף	za`eph
2199	זָעַק	za`aq
2200	זְעִק	z@`iq
2201	זַעַק	za`aq
2202	זִפְרוֹן	Ziphron
2203	זֶפֶת	zepheth
2204	זָקֵן	zaqen
2205	זָקֵן	zaqen
2206	זָקָן	zaqan
2207	זֹקֶן	zoqen
2208	זָקוּן	zaqun
2209	זִקְנָה	ziqnah
2210	זָקַף	zaqaph
2211	זקף	z@qaph
2212	זְקַק	zaqaq
2213	זֵר	zer
2214	זָרָא	zara'
2215	זָרַב	zarab
2216	זְרֻבָּבֶל	Z@rubbabel
2217	זְרֻבָבֶל	Z@rubbabel
2218	זֶרֶד	Zered
2219	זָרַה	zarah
2220	זְרוֹעַ	z@rowa`
2221	זֵרוּעַ	zeruwa`
2222	זַרְזִיף	zarziyph
2223	זַרְזִיר	zarziyr
2224	זָרַח	zarach
2225	זֶרַח	zerach
2226	זֶרַח	Zerach
2227	זַרְחִי	Zarchiy
2228	זְרַחְיָה	Z@rachyah
2229	זָרַם	zaram
2230	זֶרֶם	zerem
2231	זִרְמָה	zirmah
2232	זָרַע	zara`
2233	זֶרַע	zera`
2234	זְרַע	z@ra`
2235	זֵרֹע	zeroa`
2236	זָרַק	zaraq
2237	זָרַר	zarar
2238	זֶרֶשׁ	Zeresh
2239	זֶרֶת	zereth
2240	זַתּוּא	Zattuw'
2241	זֵתָם	Zetham
2242	זֵתַר	Zethar
2243	חֹב	chob
2244	חָבָא	chaba'
2245	חָבַב	chabab
2246	חֹבָב	Chobab
2247	חָבַה	chabah
2248	חֲבוּלָה	chabuwlah
2249	חָבוֹר	Chabowr
2250	חַבּוּרָה	chabbuwrah
2251	חָבַט	chabat
2252	חֳבַיָּה	Chabayah
2253	חֶבְיוֹן	chebyown
2254	חָבַל	chabal
2255	חַבַל	chabal
2256	חֶבֶל	chebel
2257	חֲבָל	chabal
2258	חַבֹלָ	chabol
2259	חוֹבֵל	chobel
2260	חִבֵּל	chibbel
2261	חֲבַצֶּלֶת	chabatstseleth
2262	חֲבַצִּנְיָה	Chabatstsanyah
2263	חָבַק	chabaq
2264	חִבּוּק	chibbuq
2265	חֲבַקּוּק	Chabaqquwq
2266	חָבַר	chabar
2267	חֶבֶר	cheber
2268	חֶבֶר	Cheber
2269	חֲבַר	chabar
2270	חָבֵר	chaber
2271	חַבָּר	chabbar
2272	חֲבַרְבּוּרָה	chabarburah
2273	חַבְרָה	chabrah
2274	חֶבְרָה	chebrah
2275	חֶבְרוֹן	Chebrown
2276	חֶבְרוֹנִי	Chebrowniy
2277	חֶבְרִי	Chebriy
2278	חֲבֵרָה	chabereth
2279	חוֹבֶרֶת	chobereth
2280	חָבַשׁ	chabash
2281	חָבֵת	chabeth
2282	חַג	chag
2283	חָגָּא	chaga'
2284	חָגָב	chagab
2285	חָגָב	Chagab
2286	חֲגָבָא	Chagaba'
2287	חָגַג	chagag
2288	חֲגָו	chagav
2289	חֲגוֹר	chagowr
2290	חֲגוֹר	chagowr
2291	חַגִּי	Chaggiy
2292	חַגַּי	Chaggay
2293	חַגִּיָּה	Chaggiyah
2294	חַגִּית	Chaggiyith
2295	חָגְלָה	Choglah
2296	חָגַר	chagar
2297	חַד	chad
2298	חֲדָה	chad
2299	חֲדָה	chad
2300	חָדַד	chadad
2301	חֲדַד	Chadad
2302	חָדָה	chadah
2303	חַדּוּד	chadduwd
2304	חֶדְוָה	chedvah
2305	חֶדְוָה	chedvah
2306	חֲדִי	chadiy
2307	חָדִיד	Chadiyd
2308	חָדַל	chadal
2309	חֶדֶל	chedel
2310	חָדֵל	chadel
2311	חַדְלָי	Chadlay
2312	חֵדֶק	chedeq
2313	חִדֶּקֶל	Chiddeqel
2314	חָדַר	chadar
2315	חֶדֶר	cheder
2316	חֲדַר	Chadar
2317	חַדְרָךְ	Chadrak
2318	חָדַשׁ	chadash
2319	חָדָשׁ	chadash
2320	חֹדֶשׁ	chodesh
2321	חֹדֶשׁ	Chodesh
2322	חֲדָשָׁה	Chadashah
2323	חֲדַת	chadath
2324	חַוָה	chava'
2325	חוּב	chuwb
2326	חוֹב	chowb
2327	חוֹבָה	chowbah
2328	חוּג	chuwg
2329	חוּג	chuwg
2330	חוּד	chuwd
2331	חָוַה	chavah
2332	חַוָּה	Chavvah
2333	חַוָּה	chavvah
2334	חַוֹּת	<A CLASS="u">&#x05D9;&#x05B8;&#x05D0;&#x05B4;&#x05D9;&#x05E8;</A> Chavvowth Ya`iyr
2335	חוֹזַי	Chowzay
2336	חוֹחַ	chowach
2337	חָוָח	chavach
2338	חוּט	chuwt
2339	חוּט	chuwt
2340	חִוִּי	Chivviy
2341	חֲוִילָה	Chaviylah
2342	חוּל	chuwl
2343	חוּל	Chuwl
2344	חוֹל	chowl
2345	חוּם	chuwm
2346	חוֹמָה	chowmah
2347	חוּס	chuwc
2348	חוֹף	chowph
2349	חוּפָם	Chuwpham
2350	חוּפָמִי	Chuwphamiy
2351	חוּץ	chuwts
2352	חוּר	chuwr
2353	חוּר	chuwr
2354	חוּר	Chuwr
2355	חוֹרַי	chowr
2356	חוֹר	chowr
2357	חָוַר	chavar
2358	חִוָּר	chivvar
2359	חוּרִי	Chuwriy
2360	חוּרַי	Chuwray
2361	חוּרָם	Chuwram
2362	חַוְרָן	Chavran
2363	חוּשׁ	chuwsh
2364	חוּשָׁה	Chuwshah
2365	חוּשַׁי	Chuwshay
2366	חוּשִׁם	Chuwshiym
2367	חוּשָׁם	Chuwsham
2368	חוֹתָם	chowtham
2369	חוֹתָם	Chowtham
2370	חַזָא	chaza'
2371	חֲזָאֵל	Chaza'el
2372	חָזָה	chazah
2373	חָזֶה	chazeh
2374	חוֹזֶה	chozeh
2375	חֲזוֹ	Chazow
2376	חֱזוּ	chezev
2377	חָזוֹן	chazown
2378	חֲזוֹת	chazowth
2379	חֲזוֹת	chazowth
2380	חָזוּת	chazuwth
2381	חֲזִיאֵל	Chaziy'el
2382	חֲזָיָה	Chazayah
2383	חֶזְיוֹן	Chezyown
2384	חִזָּיוֹן	chizzayown
2385	חָזִיז	chaziyz
2386	חֲזִיר	chaziyr
2387	חֵזִיר	Cheziyr
2388	חָזַק	chazaq
2389	חָזָק	chazaq
2390	חָזֵק	chazeq
2391	חֵזֶק	chezeq
2392	חֹזֶק	chozeq
2393	חֶזְקָה	chezqah
2394	חָזְקָה	chozqah
2395	חִזְקִי	Chizqiy
2396	חִזְקִיָּה	Chizqiyah
2397	חָח	chach
2398	חטא	chata'
2399	חֵטְא	chet'
2400	חַטָּא	chatta'
2401	חֲטָאָה	chata'ah
2402	חַטּיָא	chatta'ah
2403	חַטָּאָה	chatta'ah
2404	חָטַב	chatab
2405	חֲטוּבָה	chatubah
2406	חִטָּה	chittah
2407	חַטּוּשׁ	Chattuwsh
2408	חַטִי	chatiy
2409	חַטַּיָא	chattaya'
2410	חֲטִיטָא	Chatiyta'
2411	חַטִּיל	Chattiyl
2412	חֲטִיפָא	Chatiypha'
2413	חָטַם	chatam
2414	חָטַף	chataph
2415	חֹטֶר	choter
2416	חַי	chay
2417	חַי	chay
2418	חַיָא	chaya'
2419	חִיאֵל	Chiy'el
2420	חִידָה	chiydah
2421	חָיַה	chayah
2422	חָיֶה	chayeh
2423	חֵיוָא	cheyva'
2424	חַיּוּת	chayuwth
2425	חָיַי	chayay
2426	חֵיל	cheyl
2427	חִיל	chiyl
2428	חַיִל	chayil
2429	חַיִל	chayil
2430	חֵילָה	cheylah
2431	חֵילָם	Cheylam
2432	חִילֵז	Chiylen
2433	חִין	chiyn
2434	חַיִץ	chayits
2435	חִיצוֹן	chiytsown
2436	חֵיק	cheyq
2437	חִירָה	Chiyrah
2438	חִירָם	Chiyram
2439	חִישׁ	chiysh
2440	חִישׁ	chiysh
2441	חֵךְ	chek
2442	חָכָה	chakah
2443	חַכָּה	chakkah
2444	חֲכִילָה	Chakiylah
2445	חַכִּים	chakkiym
2446	חֲכַלְיָה	Chakalyah
2447	חַכְלִילִי	chakliyl
2448	חַכְלִילוּת	chakliluwth
2449	חָכַם	chakam
2450	חָכָם	chakam
2451	חָכְמָה	chokmah
2452	חָכְמָה	chokmah
2453	חַכְמוֹנִי	Chakmowniy
2454	חָכְמוֹת	chokmowth
2455	חֹל	chol
2456	חָלָא	chala'
2457	חֶלְאָה	chel'ah
2458	חֶלְאָה	Chel'ah
2459	חֶלֶב	cheleb
2460	חֵלֶב	Cheleb
2461	חָלָב	chalab
2462	חֶלְבָּה	Chelbah
2463	חֶלְבּוֹן	Chelbown
2464	חֶלְבְּנָה	chelb@nah
2465	חֶלֶד	cheled
2466	חֵלֶד	cheled
2467	חֹלֶד	choled
2468	חֻלְדָּה	Chuldah
2469	חֶלְדַּי	Chelday
2470	חָלָה	chalah
2471	חַלָּה	challah
2472	חֲלוֹם	chalowm
2473	חֹלוֹן	Cholown
2474	חַלּוֹן	challown
2475	חֲלוֹף	chalowph
2476	חֲלוּשָׁה	chaluwshah
2477	חְלַח	Chalach
2478	חַלְחוּל	Chalchuwl
2479	חַלְחָלָה	chalchalah
2480	חָלַט	chalat
2481	חֲלִי	chaliy
2482	חֲלִי	Chaliy
2483	חֳלִי	choliy
2484	חֶלְיָה	chelyah
2485	חָלִיל	chaliyl
2486	חָלִילָה	chaliylah
2487	חֲלִיפָה	chaliyphah
2488	חֲלִיצָה	chaliytsah
2489	חֵלְכָא	chel@ka'
2490	חָלַל	chalal
2491	חָלָל	chalal
2492	חָלַם	chalam
2493	חֵלֶם	chelem
2494	חֵלֶם	Chelem
2495	חַלָּמוּת	challamuwth
2496	חַלָּמִישׁ	challamiysh
2497	חֵלֹן	Chelon
2498	חָלַף	chalaph
2499	חַלַף	chalaph
2500	חֵלֶף	cheleph
2501	חֵלֶף	Cheleph
2502	חָלַץ	chalats
2503	חֶלֶץ	Chelets
2504	חָלָץ	chalats
2505	חָלַק	chalaq
2506	חֵלֶק	cheleq
2507	חֵלֶק	Cheleq
2508	חֲלָק	chalaq
2509	חָלָק	chalaq
2510	חָלָק	Chalaq
2511	חַלָּק	challaq
2512	חַלּוּק	challuq
2513	חֶלְקָה	chelqah
2514	חָלָקה	chalaqqah
2515	חֲלֻקָּה	chaluqqah
2516	חֶלְקִי	Chelqiy
2517	חֶלְקָי	Chelqay
2518	חִלְקִיָּה	Chilqiyah
2519	חֲלַקְלַקָּה	chalaqlaqqah
2520	חֶלְקַת	Chelqath
2521	חֶלְקַת	<A CLASS="u">&#x05D4;&#x05B7;&#x05E6;&#x05BC;&#x05BB;&#x05E8;&#x05B4;&#x05D9;&#x05DD;</A> Chelqath hats-Tsuriym
2522	חָלַשׁ	chalash
2523	חַלָּשׁ	challash
2524	חָם	cham
2525	חָם	cham
2526	חָם	Cham
2527	חֹם	chom
2528	חֱמָא	chema'
2529	חֶמְאָה	chem'ah
2530	חמד	chamad
2531	חֶמֶד	chemed
2532	חָמוּד	chemdah
2533	חֶמְדָּן	Chemdan
2534	חֵמָה	chemah
2535	חַמָּה	chammah
2536	חַמּוּאֵל	Chammuw'el
2537	חֲמוּטַל	Chamuwtal
2538	חָמוּל	Chamuwl
2539	חָמוּלִי	Chamuwliy
2540	חַמּוֹן	Chammown
2541	חָמוֹץ	chamowts
2542	חַמּוּק	chammuwq
2543	חֲמוֹר	chamowr
2544	חֲמוֹר	Chamowr
2545	חָמוֹת	chamowth
2546	חֹמֶט	chomet
2547	חֻמְטָה	Chumtah
2548	חָמִיץ	chamiyts
2549	חֲמִישִׁי	chamiyshiy
2550	חָמַל	chamal
2551	חֶמְלָה	chemlah
2552	חָמַם	chamam
2553	חַמָּן	chamman
2554	חָמַס	chamac
2555	חָמָס	chamac
2556	חָמַץ	chamets
2557	חָמֵץ	chametz
2558	חֹמֶץ	chomets
2559	חָמַק	chamaq
2560	חָמַר	chamar
2561	חֶמֶר	chemer
2562	חֲמַר	chamar,
2563	חֹמֶר	chomer
2564	חֵמָר	chemar
2565	חֲמוֹרָה	chamorah
2566	חַמְרָן	Chamran
2567	חמשׁ	chamash
2568	חָמֵשׁ	chamesh
2569	חֹמֶשׁ	chomesh
2570	חֹמֶשׁ	chomesh
2571	חַמֻשׁ	chamush
2572	חֲמִשִּׁים	chamishshiym
2573	חֵמֶת	chemeth
2574	חֲמָת	Chamath
2575	חַמַּת	Chammath
2576	חַמֹּת	<A CLASS="u">&#x05D3;&#x05BC;&#x05B9;&#x05D0;&#x05E8;</A> Chammoth Do'r
2577	חֲמָתִי	Chamathiy
2578	חֲמָת	<A CLASS="u">&#x05E6;&#xFB4B;&#x05D1;&#x05B8;&#x05D4;</A> Chamath Tsowbah
2579	חֲמַת	<A CLASS="u">&#x05E8;&#x05B7;&#x05D1;&#x05BC;&#x05B8;&#x05D4;</A> Chamath Rabbah
2580	חֵן	chen
2581	חֵן	Chen
2582	חֵנָדָד	Chenadad
2583	חָנָה	chanah
2584	חַנָּה	Channah
2585	חֲנוֹךְ	Chanowk
2586	חָנוּן	Chanuwn
2587	חַנּוּן	channuwn
2588	חָנוּת	chanuwth
2589	חַנּוֹת	channowth
2590	חָנוּט	chanat
2591	חִנְטָה	chinta'
2592	חַנִּיאֵל	Channiy'el
2593	חָנִיךְ	chaniyk
2594	חֲנִינָה	chaniynah
2595	חֲנִית	chaniyth
2596	חָנַךְ	chanak
2597	חֲנֻכָּה	chanukka'
2598	חֲנֻכָּה	chanukkah
2599	חֲנֹכִי	Chanokiy
2600	חִנָּם	chinnam
2601	חֲנַמְאֵל	Chanam'el
2602	חֲנָמַל	chanamal
2603	חָנַן	chanan
2604	חָנַן	chanan
2605	חָנָן	Chanan
2606	חֲנַנְאֵל	Chanan'el
2607	חֲנָנִי	Chananiy
2608	חֲנַנְיָה	Chananyah
2609	חָנֵס	Chanec
2610	חָנֵף	chaneph
2611	חָנֵף	chaneph
2612	חֹנֶף	choneph
2613	חֲנֻפָּה	chanuphah
2614	חָנַק	chanaq
2615	חַנָּתֹן	Channathon
2616	חָסַד	chacad
2617	חֶסֶד	checed
2618	חֶסֶד	Checed
2619	חֲסַדְיָה	Chacadyah
2620	חָסַה	chacah
2621	חֹסָה	Chocah
2622	חָסוּת	chacuwth
2623	חָסִיד	chaciyd
2624	חֲסִידָה	chaciydah
2625	חָסִיל	chaciyl
2626	חֲסִין	chaciyn
2627	חַסִּיר	chacciyr
2628	חָסַל	chacal
2629	חָסַם	chacam
2630	חָסַן	chacan
2631	חַסַן	chacan
2632	חֱסֵן	checen
2633	חֹסֶן	chocen
2634	חָסֹן	chacon
2635	חֲסַף	chacaph
2636	חספס	chacpac
2637	חָסֵר	chacer
2638	חָסֵר	chacer
2639	חֶסֶר	checer
2640	חֹסֶר	chocer
2641	חַסְרָה	Chacrah
2642	חֶסְרוֹן	checrown
2643	חַף	chaph
2644	חָפָא	chapha'
2645	חָפָה	chaphah
2646	חֻפָּה	chuppah
2647	חֻפָּה	Chuppah
2648	חָפַז	chaphaz
2649	חִפָּזוֹן	chippazown
2650	חֻפִּים	Chuppiym
2651	חֹפֶן	chophen
2652	חָפְנִי	Chophniy
2653	חפף	chophaph
2654	חָפֵץ	chaphets
2655	חָפֵץ	chaphets
2656	חֵפֶץ	chephets
2657	חֶפְצִי־בָהּ	Chephtsiy bahh
2658	חָפַר	chaphar
2659	חַפֵר	chapher
2660	חֵפֶר	Chepher
2661	חַפרֹ	chaphor
2662	חֶפְרִי	Chephriy
2663	חֲפָרַיִם	Chapharayim
2664	חָפַשׂ	chaphas
2665	חֵפֶשׂ	chephes
2666	חָפַּשׁ	chaphash
2667	חֹפֶשׁ	Chophesh
2668	חֻפְשָׁה	chuphshah
2669	חָפְשׁוּת	chophshuwth
2670	חָפְשִׁי	chophshiy
2671	חֵץ	chets
2672	חָצַב	chatsab
2673	חָצָה	chatsah
2674	חָצוֹר	Chatsowr
2675	חָצוֹר	<A CLASS="u">&#x05D7;&#x05B2;&#x05D3;&#x05B7;&#x05EA;&#x05BC;&#x05B8;&#x05D4;</A> Chatsowr Chadattah
2676	חֲצוֹת	chatsowth
2677	חֲצִי	chetsiy
2678	חִצִי	chitstsiy
2679	חֲצִי	<A CLASS="u">&#x05D4;&#x05B7;&#x05DE;&#x05BC;&#x05B0;&#x05E0;&#x05BB;&#x05D7;&#xFB4B;&#x05EA;</A> Chatsiy ham-M@nuchowth
2680	חֲצִי	<A CLASS="u">&#x05DE;&#x05B8;&#x05E0;&#x05B7;&#x05D7;&#x05B0;&#x05EA;&#x05BC;&#x05B4;&#x05D9;</A> Chatsiy ham-M@nachti
2681	חָצִיר	chatsiyr
2682	חָצִיר	chatsiyr
2683	חֵצֶן	chetsen
2684	חֹצֶן	chotsen
2685	חַצַף	chatsaph
2686	חָצַץ	chatsats
2687	חָצָץ	chatsats
2688	חַצְצוֹן	<A CLASS="u">&#x05EA;&#x05BC;&#x05B8;&#x05DE;&#x05B8;&#x05E8;</A> Chats@tsown Tamar
2689	חֲצוֹצְרָה	chatsots@rah
2690	חָצַר	chatsar
2691	חָצֵר	chatser
2692	חֲצַר־אַדָּר	Chatsar Addar
2693	חֲצַר	<A CLASS="u">&#x05D2;&#x05BC;&#x05B7;&#x05D3;&#x05BC;&#x05B8;&#x05D4;</A> Chatsar Gaddah
2694	חָצֵר	<A CLASS="u">&#x05D4;&#x05B7;&#x05EA;&#x05BC;&#x05B4;&#x05D9;&#x05DB;&#xFB4B;&#x05DF;</A> Chatsar hat-Tiykown
2695	חֶצְרוֹ	Chetsrow
2696	חֶצְרוֹן	Chetsrown
2697	חֶצְרוֹנִי	Chetsrowniy
2698	חֲצֵרוֹת	Chatserowth
